fid,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
188,"2055701",Rörviksskogen,Naturreservat,Gällande,2023/11/27,,2023/12/28,2023/12/28,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,33.991,33.98,0,33.28,Slutligt inmätt,5112-26719-2019,Miljöbalken,Länsstyrelse
189,"2001150",Dävelsöfjärden,Naturreservat,Gällande,1972/12/22,,1973/01/19,1973/01/19,,,,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,11.034,9.66,1.37,4.48,Justerad mot fastighetskarta,11.121-64-71  0120-02-026,Naturvårdslagen,Länsstyrelse
190,"2004479",Långsjön,Naturreservat,Gällande,2005/09/12,,2005/12/14,2005/12/14,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,25.629,19.15,6.45,17.01,Justerad mot fastighetskarta,ONS 2004/70,Miljöbalken,Kommun
191,"2046356",Karklö,Naturreservat,Gällande,2017/12/13,,2018/01/11,2021/05/12,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,122.475,60.73,61.8,41.6,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
192,"2045417",Grendalen,Naturreservat,Gällande,2017/09/01,,2017/10/05,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,49.972,49.94,0,44.62,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
193,"2021789",Garnudden,Naturreservat,Gällande,2009/10/22,,2010/03/08,2018/07/31,,,,Stockholms Län,"Botkyrka, Salem","0, Områden som ej kan klassificeras enligt IUCN: s system.",Salems kommun,83.941,66.33,17.58,61.29,Justerad mot fastighetskarta,511-36956-2018,Miljöbalken,Kommun
194,"2000163",Gränskäret,Naturreservat,Gällande,1974/09/19,,1974/10/17,1974/10/17,,,,Stockholms Län,Norrtälje,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,24.134,6.7,17.45,3.11,Justerad mot fastighetskarta,11.121-601-72  0188-02-026,Naturvårdslagen,Länsstyrelse
195,"2002728",Björnö,Naturreservat,Gällande,1983/02/17,,1983/03/28,2026/04/15,,,,Stockholms Län,"Haninge, Värmdö","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,948.717,318.13,630.71,157.11,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
196,"2201230",Allemora,Naturreservat,Gällande,2026/02/16,,2026/03/18,2026/03/18,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,22.836,22.79,0,20.48,Slutligt inmätt,511-64188-2022,Miljöbalken,Länsstyrelse
197,"2055601",Hagsätraskogen,Naturreservat,Gällande,2021/06/14,,2021/07/20,2021/07/20,,,,Stockholms Län,Stockholm,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Stockholms kommun,31.009,30.95,0,25.44,Ospecificerad,KS2021/371,Miljöbalken,Kommun
198,"2046759",Ladudden,Naturreservat,Gällande,2018/12/17,,2019/01/24,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,33.275,30.51,2.78,27.15,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
199,"2046152",Grevinnans rå,Naturreservat,Gällande,2016/12/19,,2017/01/19,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,53.095,53.14,0,46.26,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
200,"2000146",Västerängsudd,Naturreservat,Gällande,1957/04/03,,1957/05/01,2025/05/28,,,,Stockholms Län,Sigtuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,109.525,77.72,31.88,53.89,Slutligt inmätt,63370-2020,Miljöbalken,Länsstyrelse
201,"2005587",Edebo-Sättra utskog,Naturreservat,Gällande,2006/11/16,,2006/12/14,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,25.528,25.5,0,25.42,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
202,"2002907",Grimsta,Naturreservat,Gällande,2004/10/18,,2004/11/16,2004/11/16,,,,Stockholms Län,Stockholm,"Ia, Strikt naturreservat (Strict Nature Reserve)",Stockholms kommun,320.151,263.02,57,192.15,Justerad mot fastighetskarta,331-662/2001,Miljöbalken,Kommun
203,"2014538",Lohärad-Svartkärret,Naturreservat,Gällande,2011/05/04,,2011/06/09,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,13.765,13.75,0,13.5,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
204,"2000888",Hallonstenarna,Naturreservat,Gällande,1973/03/23,,1973/04/20,1973/04/20,,,,Stockholms Län,Österåker,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,43.973,43.52,0.48,25.74,Slutligt inmätt,11.121-156-73  0117-02-004,Naturvårdslagen,Länsstyrelse
205,"2000833",Lettholmen,Naturreservat,Gällande,1970/08/19,,1970/09/16,1970/09/16,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,7.951,7.92,0.01,7.24,Justerad mot fastighetskarta,22R-11-55-69  0188-02-012,Naturvårdslagen,Länsstyrelse
206,"2000153",Åvinge,Naturreservat,Gällande,2000/12/04,,2001/01/08,2001/01/08,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Botkyrka kommun,15.932,15.93,0,12.99,Justerad mot fastighetskarta,1999-001140,Miljöbalken,Kommun
207,"2001144",Järflotta,Naturreservat,Gällande,1968/06/28,,1968/07/26,2026/04/15,,,,Stockholms Län,Nynäshamn,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Stockholms län,3538.275,758.44,2779.94,438.48,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
208,"2005579",Igelsjön,Naturreservat,Gällande,2006/11/16,,2006/12/14,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,131.056,130.3,0.74,114.41,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
209,"2001156",Äpplarö,Naturreservat,Gällande,1972/12/29,,1973/01/26,1973/01/26,,,,Stockholms Län,Österåker,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Enskild markägare,933.176,130.54,802.62,76.9,Justerad mot fastighetskarta,11.121-1027-72    0117-02-003,Naturvårdslagen,Länsstyrelse
210,"2044877",Älvsjöskogen,Naturreservat,Gällande,2015/12/14,,2016/02/08,2016/02/08,,,,Stockholms Län,"Huddinge, Stockholm","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Stockholms kommun,65.587,65.37,0.21,55.68,Ospecificerad,135-1299/2015 §29,Miljöbalken,Kommun
211,"2001145",Lejondal,Naturreservat,Gällande,1975/12/10,,1976/01/07,2017/02/03,,,,Stockholms Län,Upplands-Bro,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Upplands-Bro kommun,312.441,253.81,58.65,206.87,Ospecificerad,KS 16/0076,Miljöbalken,Kommun
212,"2002304",Boskapsön,Naturreservat,Gällande,1967/04/20,,1967/05/18,1967/05/18,,,,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Skärgårdsstiftelsen i Stockholms län,74.355,31.86,42.49,9.83,Justerad mot fastighetskarta,III R-11-21-66    0120-02-011,Naturvårdslagen,Länsstyrelse
213,"2001391",Ulriksdal,Naturreservat,Gällande,,,,2021/05/12,,,,Stockholms Län,Solna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Statens Fastighetsverk,31.855,31.87,0,29.91,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
214,"2000010",Lindholmen,Naturreservat,Gällande,1996/03/12,,1996/05/29,1996/05/29,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Norrtälje kommun,4.639,4.62,0.02,3.64,Justerad mot fastighetskarta,"Norrtälje kommun 96/plk, 026.265",Naturvårdslagen,Kommun
215,"2026469",Tornberget,Naturreservat,Gällande,2010/06/07,,2011/02/17,2012/05/22,,,,Stockholms Län,"Haninge, Huddinge","Ia, Strikt naturreservat (Strict Nature Reserve)",Haninge kommun,358.964,358.89,0,179.74,Ospecificerad,KS 197/2011,Miljöbalken,Kommun
216,"2000156",Eriksö,Naturreservat,Gällande,1998/02/23,,1998/05/12,2026/04/15,,,,Stockholms Län,"Södertälje, Trosa","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,577.902,290.91,286.94,160.41,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
217,"2051019",Långholmen-Käringö,Naturreservat,Gällande,2019/12/16,,2020/01/30,2020/01/30,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,133.686,36.86,96.84,31.76,Justerad mot fastighetskarta,5112-4945-2019,Miljöbalken,Länsstyrelse
218,"2000845",Klippan-Finnala,Naturreservat,Gällande,1974/05/07,,1974/06/04,1974/06/04,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,7.437,7.31,0.08,5.28,Justerad mot fastighetskarta,11.121-61-71   0188-02-024,Naturvårdslagen,Länsstyrelse
219,"2000838",Lännaskogen,Naturreservat,Gällande,2002/06/17,,2002/07/15,2025/12/11,,,,Stockholms Län,Huddinge,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Huddinge kommun,490.137,476.76,13.2,328.48,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
220,"2000835",Ströja,Naturreservat,Gällande,2001/10/03,,2001/11/08,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,23.606,23.48,0.07,22.76,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
221,"2001109",Vindalsö,Naturreservat,Gällande,1969/10/23,,1969/11/20,1969/11/20,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,2.495,2.49,0.09,0.51,Justerad mot fastighetskarta,22R11-916-68,Naturvårdslagen,Länsstyrelse
222,"2000152",Grinda,Naturreservat,Gällande,2000/10/26,,2000/12/04,2026/04/15,,,,Stockholms Län,"Värmdö, Österåker","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,503.309,177.6,325.7,105.62,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
223,"2042026",Stora Uringe,Naturreservat,Gällande,2015/06/08,,2015/07/09,2026/04/15,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,12.17,12.19,0,11.58,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
224,"2028909",Hammaren,Naturreservat,Gällande,2012/02/22,,2012/04/12,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,22.179,21.98,0.18,21.68,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
225,"2041333",Bokullen,Naturreservat,Gällande,2014/11/14,,2014/12/29,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,19.363,19.34,0,17.05,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
226,"2043738",Ålandet,Naturreservat,Gällande,2018/12/13,,2019/01/24,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,45.265,23.82,21.45,21.44,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
227,"2001151",Svartkobben,Naturreservat,Gällande,1974/04/02,,1974/04/30,1974/04/30,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,1.024,0.7,0.38,0,Justerad mot fastighetskarta,11.121-56-71  0120-02-029,Naturvårdslagen,Länsstyrelse
228,"2000836",Skogsö,Naturreservat,Gällande,1997/06/02,,1997/06/30,1997/06/30,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,149.014,115,33.82,92.76,Justerad mot fastighetskarta,,Miljöbalken,Kommun
229,"2002198",Västra Järvafältet,Naturreservat,Gällande,1987/04/22,,1987/07/01,2021/05/12,,,,Stockholms Län,"Järfälla, Sollentuna","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Järfälla kommun,699.78,607.88,91.83,376.05,Ospecificerad,511-20118-2020,Miljöbalken,Länsstyrelse
230,"2061542",Gribby,Naturreservat,Gällande,2024/09/17,,2024/10/23,2024/10/23,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,78.858,78.92,0,70.93,Slutligt inmätt,511-32682-2017,Miljöbalken,Länsstyrelse
231,"2014800",Bogesundslandet,Naturreservat,Gällande,2013/10/01,,2015/04/16,2026/04/15,,,,Stockholms Län,"Danderyd, Lidingö, Vaxholm, Österåker","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Statens Fastighetsverk,4341.168,2899.95,1441.54,2207.05,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
232,"2047946",Lötsjön-Golfängarna,Naturreservat,Gällande,2017/12/18,,2018/01/24,2023/04/26,,,,Stockholms Län,Sundbyberg,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Sundbybergs kommun,28.047,21.89,6.12,13.25,Ospecificerad,511-18143-2023,Miljöbalken,Kommun
233,"2001396",Långängen-Elfvik,Naturreservat,Gällande,,,,2024/01/12,,,,Stockholms Län,Lidingö,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Lidingö kommun,702.106,574.57,127.72,379.94,Justerad mot fastighetskarta,KS/2023:448,Miljöbalken,Kommun
234,"2022049",Södra Törnskogen,Naturreservat,Gällande,2010/06/09,,2012/10/20,2012/10/20,,,,Stockholms Län,Sollentuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Sollentuna kommun,471.423,457.86,13.37,335.46,Ospecificerad,511-2010-9370,Miljöbalken,Kommun
235,"2022529",Frölunda,Naturreservat,Gällande,2010/06/10,,2010/09/08,2010/09/08,,,,Stockholms Län,Upplands-Bro,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Upplands-Bro kommun,205.988,74.15,131.34,63.09,Justerad mot fastighetskarta,2010-156,Miljöbalken,Kommun
236,"2022549",Näsudden,Naturreservat,Gällande,2010/03/01,,2010/09/28,2010/09/28,,,,Stockholms Län,Österåker,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Österåkers kommun,72.57,27.9,44.66,18.67,Ospecificerad,2009.27 265,Miljöbalken,Kommun
237,"2001106",Huvudholmen,Naturreservat,Gällande,1969/10/29,,1969/11/26,2026/04/15,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,9.985,9.49,0.45,5.41,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
238,"2014208",Stora Träsket,Naturreservat,Gällande,2008/06/17,,2008/09/09,2008/09/09,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Botkyrka kommun,48.986,42.82,6.15,30.13,Ospecificerad,KS/2007:158,Miljöbalken,Kommun
239,"2002195",Tullgarn,Naturreservat,Gällande,1984/12/18,,1985/04/17,2026/04/15,,,,Stockholms Län,"Södertälje, Trosa","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Stockholms län,744.092,386.13,358.01,158.12,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
240,"2002202",Jungfruskär,Naturreservat,Gällande,1974/09/30,,1974/10/28,1974/10/28,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,657.77,154.84,502.92,48.99,Justerad mot fastighetskarta,11.121-157-73  0120-02-035,Naturvårdslagen,Länsstyrelse
241,"2201264",Rissne ängars naturreservat,Naturreservat,Gällande,2025/12/15,,2026/02/05,2026/02/05,,,,Stockholms Län,Sundbyberg,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Sundbybergs kommun,21.099,21.13,0,12.95,Ospecificerad,KS-0543/2025,Miljöbalken,Kommun
242,"2000155",Väsby hage,Naturreservat,Gällande,1981/07/06,,1981/09/15,2026/04/15,,,,Stockholms Län,Ekerö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,117.402,101.3,16.13,81.96,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
243,"2045648",Hundsjön,Naturreservat,Gällande,2017/10/31,,2017/11/30,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,72.687,70.48,2.35,67.79,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
244,"2064682",Långnäset,Naturreservat,Gällande,2024/11/27,,2024/12/26,2024/12/26,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,72.143,62.88,9.16,41.96,Slutligt inmätt,5112-42716-2021,Miljöbalken,Länsstyrelse
245,"2002730",Stickelsberg,Naturreservat,Gällande,1965/01/22,,1965/02/19,2026/04/15,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,231.954,231.92,0,153.2,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
246,"2000005",Gymmerholmen,Naturreservat,Gällande,1974/05/07,,1974/06/04,1974/06/04,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,35.755,8.05,27.71,0.51,Justerad mot fastighetskarta,11.121-196-73  0120-02-030,Naturvårdslagen,Länsstyrelse
247,"2048738",Årstaskogen - Årsta holmar,Naturreservat,Gällande,2018/01/29,,2018/03/06,2022/07/14,,,,Stockholms Län,Stockholm,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Stockholms kommun,71.838,59.65,12.15,43.87,Ospecificerad,KS 2021/1697,Miljöbalken,Kommun
248,"2028869",Norrga,Naturreservat,Gällande,2012/06/04,,2012/07/12,2026/04/15,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,14.262,14.16,0.1,10.16,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
249,"2041803",Täby prästgård,Naturreservat,Gällande,2016/11/15,,2016/12/22,2021/05/12,,,,Stockholms Län,Täby,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,94.344,93.88,0.36,20.2,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
250,"2001148",Skogsskär-Vindalsö,Naturreservat,Gällande,1969/10/23,,1969/11/20,1969/11/20,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,5.707,5.71,0.02,1.75,Justerad mot fastighetskarta,22R-11-914-68   0120-02-020,Naturvårdslagen,Länsstyrelse
251,"2014544",Storvikaren,Naturreservat,Gällande,2011/01/28,,2011/03/03,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,27.232,27.25,0,25.54,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
252,"2002914",Talbyskogen,Naturreservat,Gällande,2004/10/12,,2005/02/17,2005/02/17,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Södertälje kommun,42.722,42.71,0.04,33.45,Slutligt inmätt,2003-1497,Miljöbalken,Kommun
253,"2002294",Norrholmen,Naturreservat,Gällande,1973/03/15,,1973/04/12,1992/08/24,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,9.168,5.48,3.67,1.69,Justerad mot fastighetskarta,"231-1991-1711, 0120-02-027",Naturvårdslagen,Länsstyrelse
254,"2005706",Smedsmoraskogen,Naturreservat,Gällande,2006/11/16,,2006/12/14,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,114.941,114.9,0,97.83,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
255,"2014284",Gillberga,Naturreservat,Gällande,2013/01/14,,2013/02/14,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,39.747,39.76,0,39.56,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
256,"2000020",Broknapparna,Naturreservat,Gällande,1969/12/12,,1970/01/09,1992/07/27,,,,Stockholms Län,Upplands-Bro,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Upplands-Bro kommun,91.374,9.05,82.8,7.25,Justerad mot fastighetskarta,"231-1991-1451, 0139-02-002",Naturvårdslagen,Länsstyrelse
257,"2000162",Stäketskogen,Naturreservat,Gällande,1989/06/05,,1989/07/20,2021/05/12,,,,Stockholms Län,Upplands-Bro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Upplands-Bro kommun,13.044,13.13,0.01,12.49,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
258,"2002738",Norra Björkfjärden,Naturreservat,Gällande,1968/06/27,,1968/07/25,1996/02/27,,,,Stockholms Län,"Enköping, Upplands-Bro","Ia, Strikt naturreservat (Strict Nature Reserve)",Upplands-Bro kommun,868.037,51.08,816.9,46.71,Justerad mot fastighetskarta,"231-1995-1008, 0139-02-001",Naturvårdslagen,Länsstyrelse
259,"2002030",Tattby,Naturreservat,Gällande,,,,2005/11/02,,,,Stockholms Län,Nacka,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Nacka kommun,142.185,126.87,15.39,87.45,Justerad mot fastighetskarta,KFKS 2001-118,Miljöbalken,Kommun
260,"2002740",Östra Järvafältet,Naturreservat,Gällande,1979/06/28,,1979/07/26,2021/05/12,,,,Stockholms Län,"Järfälla, Sollentuna, Stockholm","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Sollentuna kommun,1015.908,984.98,30.87,712.93,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
261,"2014292",Norrskogen,Naturreservat,Gällande,2009/03/12,,2009/04/16,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,33.881,33.12,0.56,32.81,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
262,"2000837",Paradiset,Naturreservat,Gällande,2002/06/17,,2002/07/15,2025/12/11,,,,Stockholms Län,"Haninge, Huddinge","Ia, Strikt naturreservat (Strict Nature Reserve)",Huddinge kommun,757.785,743.81,14.04,351.76,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
263,"2000157",Björkö,Naturreservat,Gällande,1944/07/25,,1944/07/25,2026/04/15,,,,Stockholms Län,Ekerö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,1.645,1.64,0,1.64,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
264,"2000280",Hallskäret,Naturreservat,Gällande,1971/05/19,,1971/06/16,1971/06/16,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,8.845,8.45,0.35,0,Justerad mot fastighetskarta,22R-11-29-71  0188-02-015,Naturvårdslagen,Länsstyrelse
265,"2051018",Prästskaten,Naturreservat,Gällande,2019/12/16,,2020/01/30,2026/04/15,,,,Stockholms Län,Norrtälje,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,6.586,5.94,0.68,4.14,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
266,"2000874",Storö-Bockö-Lökaö,Naturreservat,Gällande,1972/03/23,,1972/04/20,2023/05/03,,,,Stockholms Län,Värmdö,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,6046.737,1876.59,4170.17,948.04,Ospecificerad,511-80832-2021,Miljöbalken,Länsstyrelse
267,"2002200",Stångskär,Naturreservat,Gällande,1974/01/21,,1974/02/18,1974/02/18,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,32.054,9.4,22.6,1.72,Justerad mot fastighetskarta,11.121-84-71  0188-02-022,Naturvårdslagen,Länsstyrelse
268,"2001390",Bornsjön,Naturreservat,Gällande,1995/02/03,,1995/09/20,2026/04/15,,,,Stockholms Län,"Botkyrka, Salem, Södertälje","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Stockholm Vatten AB,4615.138,3855.45,759.59,2350.53,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
269,"2062541",Norra skogen,Naturreservat,Gällande,2024/09/17,,2024/10/24,2024/10/24,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,389.556,359.9,29.5,174.7,Slutligt inmätt,5112-2-2020,Miljöbalken,Länsstyrelse
270,"2045728",Larudan,Naturreservat,Gällande,2016/12/19,,2017/01/19,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,16.291,16.26,0,16.02,Slutligt inmätt,,Miljöbalken,Länsstyrelse
271,"2001154",Ådö-Lagnö,Naturreservat,Gällande,1982/04/26,,1982/06/02,2021/05/12,,,,Stockholms Län,Upplands-Bro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,141.248,92.66,48.52,43.98,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
